word,length,fre,pmi,entropy
意识到自己,5,3.344929087503345e-05,4.699677904869323,1.0986122886681096
向上方,3,3.344929087503345e-05,4.68507910544817,1.0986122886681096
告诉小茉,4,3.344929087503345e-05,4.6830682461339475,1.0986122886681096
一股,2,0.00012264739987512266,3.632986832414953,2.1458417525947544
在我旁边,4,5.574881812505575e-05,4.437313640401832,1.3321790402101223
个疑问,3,3.344929087503345e-05,4.659640531809485,1.0986122886681096
形成一个,4,3.344929087503345e-05,4.659640531809485,1.0986122886681096
这种香水,4,3.344929087503345e-05,4.648711461277295,1.0986122886681096
几天,2,0.00010034787262510035,4.064771038070933,1.6769877743224173
能看见,3,8.91981090000892e-05,3.8318465095411516,1.9061547465398496
从哪里,3,3.344929087503345e-05,4.638284643506974,1.0986122886681096
根本没有,4,4.45990545000446e-05,4.348348103137844,1.3862943611198906
让妹妹,3,3.344929087503345e-05,4.632156703993827,1.0986122886681096
阻挠你,3,3.344929087503345e-05,4.624170352361177,1.0986122886681096
在我耳边,4,3.344929087503345e-05,4.619635197195786,1.0986122886681096
看不出,3,5.574881812505575e-05,4.1075434070311,1.6094379124341005
第二次,3,3.344929087503345e-05,4.613620141466025,1.0986122886681096
女孩子,3,6.68985817500669e-05,4.148030286583077,1.5607104090414063
我吓得,3,0.00012264739987512266,3.5587118186633773,2.1458417525947544
能做到,3,3.344929087503345e-05,4.600217111338685,1.0986122886681096
意外地,3,4.45990545000446e-05,4.652990790896669,1.0397207708399179
你们小队,4,3.344929087503345e-05,4.585168194557908,1.0986122886681096
此刻已,3,3.344929087503345e-05,4.581531826914524,1.0986122886681096
已经消失,4,3.344929087503345e-05,4.579718589790343,1.0986122886681096
当然也,3,7.804834537507805e-05,3.727817321840357,1.945910149055313
在空中,3,6.68985817500669e-05,4.108809573429795,1.5607104090414063
手竖在,3,4.45990545000446e-05,4.6196351971957865,1.0397207708399179
低头看着,4,4.45990545000446e-05,4.613432752727539,1.0397207708399179
两个区,3,4.45990545000446e-05,4.610065746179636,1.0397207708399179
两只,2,0.0001114976362501115,3.4825566276998803,2.1639556568820564
凭什么,3,4.45990545000446e-05,4.606710038332663,1.0397207708399179
到提醒,3,3.344929087503345e-05,4.547630275238843,1.0986122886681096
愤怒地,3,3.344929087503345e-05,4.547630275238843,1.0986122886681096
担忧地,3,3.344929087503345e-05,4.547630275238843,1.0986122886681096
在墙上,3,5.574881812505575e-05,4.031848532293667,1.6094379124341005
令人,2,0.00010034787262510035,3.44318706625994,2.1972245773362196
已经离开,4,3.344929087503345e-05,4.538896595270089,1.0986122886681096
为什么要,4,5.574881812505575e-05,4.025833476563906,1.6094379124341005
黑暗中,3,3.344929087503345e-05,4.530928425620911,1.0986122886681096
有几个人,4,4.45990545000446e-05,4.241694762477712,1.3862943611198906
几个月,3,3.344929087503345e-05,4.524736455372991,1.0986122886681096
跑出来,3,4.45990545000446e-05,4.581894869212939,1.0397207708399179
地板上,3,5.574881812505575e-05,4.287373493110917,1.3321790402101223
屏幕上,3,5.574881812505575e-05,4.287373493110917,1.3321790402101223
出水面,3,4.45990545000446e-05,4.577547036276836,1.0397207708399179
另一,2,0.00027874409062527875,3.2334652782076367,2.3797612053893156
苦笑着,3,3.344929087503345e-05,4.5080722370697135,1.0986122886681096
走过去,3,3.344929087503345e-05,4.5043691525485565,1.0986122886681096
揉着,2,4.45990545000446e-05,4.207967644619375,1.3862943611198906
好奇地,3,7.804834537507805e-05,4.43941669059861,1.15374194270109
注意到,3,7.804834537507805e-05,4.1139942901639825,1.4750763110546947
她的双,3,4.45990545000446e-05,4.200686738750335,1.3862943611198906
接着说,3,4.45990545000446e-05,4.1990140313628315,1.3862943611198906
不过我还,4,4.45990545000446e-05,4.198457083423066,1.3862943611198906
明白了,3,0.00010034787262510035,3.9074398216651463,1.6769877743224173
能识别,3,3.344929087503345e-05,4.482434075682301,1.0986122886681096
这世界上,4,3.344929087503345e-05,4.481776829519963,1.0986122886681096
办公室里,4,5.574881812505575e-05,4.245422632591726,1.3321790402101223
转过脸来,4,3.344929087503345e-05,4.476534353555112,1.0986122886681096
喜欢这个,4,3.344929087503345e-05,4.473923386014392,1.0986122886681096
这个故事,4,3.344929087503345e-05,4.473923386014392,1.0986122886681096
彼此间,3,3.344929087503345e-05,4.472620454233977,1.0986122886681096
她本人,3,3.344929087503345e-05,4.464838313791922,1.0986122886681096
人兽兽人,4,3.344929087503345e-05,4.464838313791922,1.0986122886681096
可以看出,4,4.45990545000446e-05,4.172081928168671,1.3862943611198906
那套,2,8.91981090000892e-05,3.8190651494496373,1.7328679513998633
什么东西,4,6.68985817500669e-05,3.990523898908846,1.5607104090414063
拜托你,3,4.45990545000446e-05,4.506387316704794,1.0397207708399179
察觉到,3,6.68985817500669e-05,4.21115803861763,1.329661348854758
吗嗯,2,3.344929087503345e-05,4.441848795567223,1.0986122886681096
就可以,3,0.0001337971635001338,3.170987605358843,2.3693821196946767
完全没有,4,4.45990545000446e-05,4.148500985579765,1.3862943611198906
吗我问,3,4.45990545000446e-05,4.146384582673387,1.3862943611198906
不知为何,4,5.574881812505575e-05,4.198457083423066,1.3321790402101223
轻松地,3,4.45990545000446e-05,4.1421651671306785,1.3862943611198906
能听到,3,4.45990545000446e-05,4.1341273814140855,1.3862943611198906
那本书,3,4.45990545000446e-05,4.480463631695002,1.0397207708399179
大步走,3,5.574881812505575e-05,4.1851825522143695,1.3321790402101223
一栋栋,3,4.45990545000446e-05,4.125463317512747,1.3862943611198906
在这里,3,0.0001337971635001338,3.2543942452737276,2.253857589601352
是谁,2,0.0001337971635001338,3.409797273417452,2.094729047527649
恶魔都是,4,4.45990545000446e-05,4.102944453977397,1.3862943611198906
在实验室,4,0.00010034787262510035,3.5979839496638046,1.8891591637540217
在水中,3,5.574881812505575e-05,4.149631567950051,1.3321790402101223
在我身上,4,5.574881812505575e-05,4.149631567950051,1.3321790402101223
发现自己,4,7.804834537507805e-05,3.7278173218403565,1.7478680974667573
微笑着,3,6.68985817500669e-05,3.6751631141346093,1.7917594692280547
站在,2,0.00012264739987512266,3.066286751412729,2.3978952727983707
巧妙地,3,3.344929087503345e-05,4.365308718444888,1.0986122886681096
有规律地,4,3.344929087503345e-05,4.365308718444888,1.0986122886681096
第二天,3,3.344929087503345e-05,4.36326402662693,1.0986122886681096
一点一点,4,5.574881812505575e-05,4.125463317512747,1.3321790402101223
所以呢,3,4.45990545000446e-05,4.066504516294834,1.3862943611198906
什么也没,4,4.45990545000446e-05,4.406039342870512,1.0397207708399179
就像,2,0.00012264739987512266,3.464123528493088,1.9722469794234416
在脑海中,4,3.344929087503345e-05,4.331953124744005,1.0986122886681096
静静坐在,4,3.344929087503345e-05,4.331953124744005,1.0986122886681096
很好,2,0.00012264739987512266,3.0313364691882096,2.3978952727983707
了一番,3,4.45990545000446e-05,4.0409712142896685,1.3862943611198906
几个,2,0.0002006957452502007,3.305094869004175,2.1061709162064637
能理解,3,4.45990545000446e-05,4.0229017463038605,1.3862943611198906
将自己,3,8.91981090000892e-05,3.329131900717571,2.0794415416798357
很简单,3,3.344929087503345e-05,4.308475243681722,1.0986122886681096
应该是,3,0.00012264739987512266,3.133543896789294,2.2718685126965625
此刻正,3,3.344929087503345e-05,4.305992141288469,1.0986122886681096
让自己,3,7.804834537507805e-05,3.457171436541144,1.945910149055313
你们找,3,3.344929087503345e-05,4.297486122106127,1.0986122886681096
痛苦地,3,7.804834537507805e-05,3.913323594701831,1.4750763110546947
了一遍,3,6.68985817500669e-05,3.82739711399161,1.5607104090414063
一遍,2,0.00014494692712514496,3.645890237250861,1.73798344858705
是为了,3,0.00012264739987512266,3.0996423451136126,2.2718685126965625
仿佛被,3,5.574881812505575e-05,3.7547806610836596,1.6094379124341005
严肃地,3,5.574881812505575e-05,4.028836481823675,1.3321790402101223
这个世界,4,3.344929087503345e-05,4.258633278205753,1.0986122886681096
这个案子,4,3.344929087503345e-05,4.258633278205753,1.0986122886681096
那个机器人,5,5.574881812505575e-05,3.740496730952924,1.6094379124341005
也无法,3,5.574881812505575e-05,3.7396517794873594,1.6094379124341005
小女生,3,7.804834537507805e-05,3.8713157007675214,1.4750763110546947
色眼睛,3,3.344929087503345e-05,4.240403606714092,1.0986122886681096
望着,2,0.0001783962180001784,3.118657748613579,2.220025327834538
右手边,3,3.344929087503345e-05,4.232947600968556,1.0986122886681096
有什么事,4,4.45990545000446e-05,3.9428829950296786,1.3862943611198906
筑林市最,4,4.45990545000446e-05,4.279613997340006,1.0397207708399179
地看着我,4,7.804834537507805e-05,3.369090959387811,1.945910149055313
在胸前,3,4.45990545000446e-05,3.9264880166358407,1.3862943611198906
想不到,3,4.45990545000446e-05,4.272393749366518,1.0397207708399179
勇敢地,3,3.344929087503345e-05,4.21115803861763,1.0986122886681096
得意地,3,3.344929087503345e-05,4.21115803861763,1.0986122886681096
轻声说,3,4.45990545000446e-05,4.268006902849782,1.0397207708399179
就是这样,4,4.45990545000446e-05,3.9198640758494467,1.3862943611198906
就不用,3,3.344929087503345e-05,4.202424358648876,1.0986122886681096
不久就,3,3.344929087503345e-05,4.198457083423065,1.0986122886681096
不时会,3,3.344929087503345e-05,4.198457083423065,1.0986122886681096
不知何时,4,3.344929087503345e-05,4.198457083423065,1.0986122886681096
这边可,3,3.344929087503345e-05,4.197714968361177,1.0986122886681096
当当然,3,4.45990545000446e-05,3.909801097850826,1.3862943611198906
一次机会,4,4.45990545000446e-05,3.9023197661985374,1.3862943611198906
一看就是,4,4.45990545000446e-05,3.9023197661985374,1.3862943611198906
过几天,3,3.344929087503345e-05,4.178610787051134,1.0986122886681096
手指着,3,3.344929087503345e-05,4.1716000004485005,1.0986122886681096
